planet_name,star_name,planets_in_system,orbital_period,semi_major_axis,radius_earths,mass_earths,radius_jupiters,mass_jupiters,density,equilibrium_temperature,ra,dec_
GJ 433 b,GJ 433,3,7.3705,0.062,2.33,6.043,0.208,0.01901331,2.63,473.94,173.8619194,-32.5436302
Kepler-193 b,Kepler-193,2,11.38848,0.106,2.39,6.3,0.213,0.0198,2.54,979.0,296.4985951,46.5772484
Kepler-888 b,Kepler-888,1,70.6979061,0.31481,1.76,3.75,0.15701668,0.0118,3.78,417.0,295.5212866,49.7386804
NGTS-3 A b,NGTS-3 A,1,1.6753728,0.023,16.58932,756.4354,1.48,2.38,0.31,1434.44,94.4447595,-35.706364
Kepler-1972 b,Kepler-1972,2,7.54425,0.08006,0.802,2.02,0.07154977,0.00635563,22.2,1084.0,288.3953074,39.8725067
HD 86065 b,HD 86065,1,25775.78859,15.947,12.5,2877.30056857,1.12,9.053,8.1,52.56,148.9256674,-18.1069385
Kepler-799 c,Kepler-799,2,15.19419956,0.1214,2.78068551,8.15,0.24807657,0.0256,2.08,893.0,287.1748966,44.8784754
HD 171028 b,HD 171028,1,550.0,1.32,13.2,832.7146,1.18,2.62,1.99,374.07,278.0643694,6.9456827
Kepler-228 d,Kepler-228,3,11.094286,0.101,4.04,15.4,0.36,0.0483,1.28,835.0,296.2860853,48.2246328
HIP 19976 b,HIP 19976,1,50.65905,0.234,4.94,21.61233168,0.441,0.068,0.985,378.1,64.2597881,-40.7985198
HD 89744 b,HD 89744,1,256.78,0.917,12.6,2653.8805,1.12,8.35,7.29,462.62,155.5433193,41.2289354
HD 96992 b,HD 96992,1,514.0,1.24,13.7,362.3262,1.22,1.14,0.774,557.72,167.5966158,43.9189897
Kepler-1875 b,Kepler-1875,1,34.45859909,0.2039,3.22686692,10.5,0.28788228,0.033,1.72,559.0,296.7727406,50.1883667
Kepler-326 d,Kepler-326,3,6.766888,0.066,1.21,6.9,0.108,0.022,21.4,781.0,294.3255898,46.0022646
bet Pic b,bet Pic,3,8682.0,10.07,18.49485,2765.1071409,1.65,8.7,2.4,1612.0,86.8212337,-51.066148
Kepler-1642 b,Kepler-1642,2,12.2057513,0.1016,3.2,10.3,0.28548488,0.0325,1.73,895.0,297.2121215,43.643789
K2-355 b,K2-355,1,5.7385647,0.0632,2.25,5.69,0.2007319,0.0179,2.74,1066.0,124.6426189,13.5027816
Kepler-125 c,Kepler-125,2,5.774464,0.051,0.74,0.33,0.066,0.00104,4.47,529.0,298.2581101,47.6050031
HD 33142 c,HD 33142,3,810.2,1.955,13.9,282.86728223,1.24,0.89,0.579,353.91,76.8980559,-13.9863374
Kepler-174 c,Kepler-174,3,44.000529,0.214,1.49,2.83,0.133,0.00889,4.7,377.0,287.4389454,43.8320052
K2-162 b,K2-162,1,9.45889,0.0795,1.44,2.67,0.1284682,0.00839,4.91,631.0,186.0383865,-1.111479
WASP-1 b,WASP-1,1,2.5199454,0.03889,16.623,271.415,1.483,0.854,0.348,1812.0,5.1669536,31.9899732
Wendelstein-1 b,Wendelstein-1,1,2.663416,0.0282,11.5609626,188.15536,1.0314,0.592,0.72,2198.0,299.0506412,17.5699627
Kepler-1752 b,Kepler-1752,1,56.35850143,0.2698,4.54060463,18.7,0.40508631,0.059,1.1,419.0,290.8541401,51.2227435
KOI-351 f,KOI-351,8,124.9144,0.48,2.88,8.65,0.257,0.0272,1.99,407.0,284.4334642,49.3051239
K2-138 d,K2-138,6,5.40479,0.05893,2.39,7.92,0.21322152,0.02491898,3.1,888.0,348.9490311,-10.8497391
Kepler-1615 b,Kepler-1615,1,47.3126192,0.2788,2.06,4.9,0.18378089,0.0154,3.08,658.0,286.3592066,42.2273971
Kepler-1289 b,Kepler-1289,1,7.99019627,0.0785,1.52,2.92,0.13560532,0.0092,4.57,1113.0,296.388767,41.040509
HD 34445 g,HD 34445,6,5700.0,6.36,13.6,120.6,1.21,0.38,0.263,131.09,79.4207483,7.3527156
WASP-41 b,WASP-41,2,3.0524,0.04022,12.3299,270.1555,1.1,0.85,0.742,1244.0,190.6188034,-30.6398176
Kepler-327 d,Kepler-327,3,13.969457,0.09,1.73,3.64,0.154,0.0115,3.86,387.0,292.6422963,44.0876251
Kepler-722 c,Kepler-722,2,105.144749,0.4471,2.82,8.35,0.25158355,0.0263,2.05,401.0,290.2632874,44.5564051
TOI-1803 b,TOI-1803,2,6.293287,0.06,2.99,10.32,0.26675039,0.03247035,2.15031,747.0,178.0461054,35.1718001
HD 164922 b,HD 164922,4,1207.0,2.16,13.3,116.0,1.19,0.36497499,0.271,159.4,270.6304652,26.3104077
TOI-2485 b,TOI-2485,1,11.23479,0.1093,12.1393261,766.60211768,1.083,2.412,2.36,1134.0,205.2043217,22.9839692
HATS-28 b,HATS-28,1,3.1810781,0.04131,13.383546,213.58176,1.194,0.672,0.48,1253.0,284.3997616,-49.1385126
Kepler-1186 b,Kepler-1186,1,16.07677615,0.1281,2.23,5.6,0.19894727,0.0176,2.77,724.0,288.4796333,47.1017438
Kepler-618 b,Kepler-618,1,3.595769645,0.0449,2.6,7.27,0.23195646,0.0229,2.27,1296.0,286.2498525,48.0609256
WASP-192 b,WASP-192,1,2.8786765,0.0408,13.78707,731.009,1.23,2.3,1.62,1620.0,223.6587187,-38.7445469
Kepler-342 d,Kepler-342,4,39.459357,0.242,2.49,6.76,0.222,0.0213,2.41,658.0,292.6780488,46.7266813
HD 108236 b,HD 108236,5,3.795963,0.04527,1.615,3.24,0.14408065,0.0102,4.23,1099.0,186.5740627,-51.3630519
TOI-1758 b,TOI-1758,1,20.705074685,0.141409,3.62,6.9,0.32295532,0.02170983,0.83,551.44,354.741581,75.6852317
HD 98649 b,HD 98649,1,5384.0,5.97,12.5,3082.9355479,1.11,9.7,8.67,114.22,170.2147665,-23.2181063
HR 858 d,HR 858,3,11.230511,0.1046,2.001,7.1,0.17851757,0.0223391,4.9,1061.0,42.9849779,-30.8140609
HD 59686 A b,HD 59686 A,1,299.36,1.086,12.7,2199.3836,1.13,6.92,5.9,783.08,112.9518629,17.0857195
Kepler-979 b,Kepler-979,1,8.0880135,0.0753,2.72,7.85,0.24266215,0.0247,2.14,792.0,300.3712023,46.4081872
TOI-1135 b,TOI-1135,1,8.0277327,0.0815,9.91994792,58.79825529,0.885,0.185,0.15,1171.0,193.3963704,85.1294952
TOI-2193 A b,TOI-2193 A,1,2.1225735,0.03319,19.83989584,298.75870258,1.77,0.94,0.06,1763.0,313.691232,-72.8046404
Kepler-1492 b,Kepler-1492,1,16.75255007,0.1262,1.49,2.83,0.1329289,0.00889,4.7,801.0,288.5970695,41.0363254
K2-16 b,K2-16,3,7.6188,0.0667,2.02,4.74,0.18021233,0.0149,3.16,658.0,175.0972238,4.5574311
HATS-74 A b,HATS-74 A,1,1.73185606,0.02384,11.56766808,464.02947422,1.032,1.46,1.64,895.1,171.0147921,-19.5569588
TOI-4479 b,TOI-4479,1,1.1589,0.0164,2.82,8.35,0.25158398,0.0263,2.05,861.0,316.0969388,24.6536739
Kepler-222 d,Kepler-222,3,28.081912,0.18,3.69,13.2,0.329,0.0415,1.44,522.0,287.9060885,46.9377479
Kepler-1568 b,Kepler-1568,1,20.925392,0.15157,1.3,2.24,0.11597823,0.00705,5.6,729.0,289.1826808,47.8733301
Kepler-1207 b,Kepler-1207,1,13.68237119,0.1156,1.62,3.26,0.14452672,0.0102,4.21,802.0,295.0641963,49.3589615
HATS-23 b,HATS-23,1,2.1605156,0.03397,20.84874,467.2101,1.86,1.47,0.29,1654.0,286.36675,-50.0673496
Kepler-1636 b,Kepler-1636,1,425.47785,1.12191,3.23,10.5,0.2881613,0.0331,1.71,248.0,294.0575681,46.4409844
Kepler-1822 b,Kepler-1822,1,22.13339996,0.1416,2.64755943,7.5,0.23619984,0.0236,2.22,507.0,297.2855,41.3055733
HD 28678 b,HD 28678,1,380.2,1.18,13.5,490.09386,1.21,1.542,1.09,561.84,67.8560643,4.5752495
Kepler-164 c,Kepler-164,4,10.945723,0.097,2.73,7.9,0.244,0.0249,2.13,881.0,287.7808115,47.6298453
HD 20781 b,HD 20781,5,5.3135,0.0529,1.21,1.93,0.108,0.0061,5.99,1006.1,50.0139757,-28.7841175
Kepler-712 b,Kepler-712,2,21.02247699,0.13615,3.41,11.5,0.30421982,0.0363,1.59,521.0,294.9096739,42.9351987
Kepler-208 c,Kepler-208,4,7.466623,0.079,1.39,2.51,0.124,0.0079,5.14,1141.0,293.8901979,42.5279413
