star_name,star_temperature,star_radius,star_mass,star_surface_gravity
HIP 54515,8100.0,1.64915,1.9,4.29801
HD 5278,6203.0,1.194,1.126,4.5
K2-237,6180.0,1.236,1.256,4.353
Kepler-331,4347.0,0.492,0.653,4.768
WASP-156,5036.0,0.8268,0.8712,4.46
TOI-5322,5692.0,1.462,0.998,4.11
HD 290327,5505.0,0.95,0.84,4.41
Kepler-1810,5492.0,1.016,0.921,4.389
K2-84,5652.0,0.93,0.95,4.481
Kepler-299,5617.0,1.032,1.004,4.394
Kepler-997,6150.0,1.56,1.22,4.14
Kepler-1160,5519.0,0.89,0.92,4.51
Kepler-162,5816.0,0.958,1.053,4.436
PDS 70,4109.0,1.26,0.982,4.23
Kepler-975,4883.0,1.667,0.951,3.972
Kepler-247,5100.0,0.768,0.887,4.608
HD 2039,5945.0,1.19,1.23,4.38
Kepler-1336,5512.0,1.3,0.94,4.18
TOI-216,5026.0,0.748,0.77,4.66
Kepler-978,6002.0,1.09,1.07,4.38
HD 89307,5955.0,1.1,1.27,4.46
Kepler-763,4999.0,0.843,0.8,4.49
Kepler-236,3750.0,0.51,0.596005,4.753
Kepler-851,5455.0,0.85,0.89,4.53
TOI-2328,5525.0,0.9,0.95,4.505
Kepler-206,5764.0,1.185,0.957,4.311
Kepler-605,5462.0,0.88,0.91,4.52
HD 5319,4871.0,4.06,1.27,3.26
TOI-2152,6630.0,1.612,1.516,4.205
HD 196067,6072.0,1.71,1.16,4.09
Kepler-1569,6319.0,1.4,1.25,4.24
Kepler-234,6224.0,1.113,1.129,4.421
Kepler-1100,6247.0,1.34,1.21,4.26
Kepler-929,5869.0,1.02,1.01,4.42
HD 114386,4836.0,0.76,0.6,4.45
Kepler-860,5836.0,1.06,1.04,4.4
TOI-2524,5831.0,1.119,1.007,4.344
HATS-2,5227.0,0.876,0.904,4.51
K2-17,4320.0,0.66,0.71,4.798
HIP 67537,4985.0,8.69,2.316,2.85
TOI-1451,5801.0,1.0162,1.0022,4.424
HD 14787,4946.0,5.01,1.43,3.23
HD 4313,4943.0,5.14,1.63,3.24
HD 83443,5442.0,0.94,1.0,4.39
WASP-106,6002.0,1.47,1.175,4.49
HD 93083,5033.8,0.837,0.836,4.23
TOI-1259 A,4775.0,0.715,0.746,4.605
HD 133131 A,5799.0,0.955014,0.95,4.39
HD 214823,6215.0,2.04,1.115,4.05
K2-181,5528.0,1.06,0.96,4.35
Kepler-1039,4870.0,0.74,0.79,4.6
Kepler-206,5764.0,1.185,0.957,4.311
Kepler-1090,5330.0,1.013,0.869,4.366
HAT-P-60,6212.0,2.197,1.435,3.9114
K2-239,3420.0,0.36,0.4,4.9
HD 88986,5861.0,1.543,1.25,4.16
Kepler-976,5232.0,0.83,0.87,4.55
Kepler-1694,4954.0,0.756284,0.82,4.59451
Kepler-1776,5872.0,1.153,1.041,4.332
HD 18143,5078.0,0.87,0.85,4.51
HD 219134,4699.0,0.778,0.81,4.567
KOI-7892,6474.0,1.26,1.04,4.31
WASP-123,5740.0,1.285,1.166,4.286
Kepler-221,5243.0,0.821,0.854,4.543
Kepler-280,5744.0,0.886,0.962,4.537
TOI-2202,5144.0,0.794,0.823,4.55
Kepler-411,4974.0,0.82,0.87,4.6
Kepler-1358,5181.0,0.79,0.82,4.57
TOI-791,6294.0,1.474,1.28,3.71
HD 87816,4989.0,9.0,2.41,2.86
K2-316,3436.0,0.379,0.408,4.891
HD 360,4770.0,10.86,1.69,2.59
GJ 273,3382.0,0.293,0.29,4.90868
Kepler-1436,5972.0,1.09,1.06,4.39
TOI-813,5907.0,1.94,1.32,3.86
Kepler-1571,6297.0,1.39,1.23,4.24
HAT-P-41,6390.0,2.05,2.56,4.14
TOI-1227,3072.0,0.56,0.17,4.438
HD 185283,4848.0,0.743303,0.8,4.59336
HIP 54373,4021.0,0.564998,0.57,4.68103
Kepler-598,5307.0,0.86,0.87,4.51
Kepler-1028,5522.0,0.87,0.9,4.52
CoRoT-14,6035.0,1.21,1.13,4.35
HD 9446,5793.0,1.0,1.0,4.53
Kepler-1627,5445.0,0.84,0.87,4.54
Kepler-1920,6277.0,1.161,1.239,4.402
Kepler-1155,5842.0,1.03,1.03,4.43
Kepler-1171,7044.0,1.95,1.58,4.05
HD 65216,5612.0,0.88,0.874,4.44
HIP 90988,4883.0,3.94,1.613,3.32
47 UMa,5872.0,1.21334,1.06,4.29541
Kepler-436,4685.0,0.71,0.75,4.62
HD 175167,5635.0,1.75,1.09,4.09
Kepler-1743,5855.0,1.613,1.266,4.125
Kepler-721,5075.0,0.78,0.82,4.58
Kepler-314,5378.0,0.95,0.99,4.465
HAT-P-31,6065.0,1.39,1.31,4.26
HD 11964,5303.0,2.00971,0.91,3.79084
K2-211,5117.0,0.818,0.851,4.543
Kepler-2001,5081.0,0.77,0.864,4.596
TOI-238,5059.0,0.756,0.781,4.58
HD 215497,5110.0,0.85,0.67,4.4
Kepler-1817,5316.0,0.915,0.878,4.459
HD 220197,5683.0,0.98,0.91,4.42
Kepler-1247,5303.0,0.82,0.86,4.55
HD 154345,5468.0,0.85,0.89,4.505283
Kepler-243,5228.0,0.842,0.904,4.565
Kepler-308,5895.0,0.941,0.92,4.508
Teegarden's Star,3034.0,0.12,0.097,5.19
Kepler-254,5957.0,0.91,0.849,4.524
K2-19,5322.0,0.82,0.88,4.51
HD 30177,5680.0,1.019,0.98,4.417
Kepler-1475,6214.0,1.28,1.18,4.29
K2-111,5775.0,1.25,0.84,4.25
HAT-P-67,6640.0,2.62,1.73,3.84
TOI-2373,5651.0,1.102,1.041,4.371
Kepler-1530,5678.0,1.303,1.015,4.215
TOI-1288,5388.0,0.9583,0.9552,4.453
Kepler-660,4779.0,0.71,0.75,4.61
Kepler-760,5322.0,0.85,0.89,4.54
Kepler-1712,3732.0,0.509,0.515,4.736
Kepler-784,5674.0,1.32,1.0,4.19
Kepler-1612,5643.0,0.94,0.96,4.48
TOI-1246,5213.0,0.8649,0.8889,4.51
K2-157,5334.0,0.86,0.89,4.45
Kepler-1335,4903.0,0.74,0.77,4.6
Kepler-612,5693.0,0.96,0.98,4.46
Kepler-20,5495.0,0.9164,0.929,4.446
CoRoT-32,5970.0,0.79,1.08,4.67
Kepler-289,5990.0,1.0,1.08,4.47
Kepler-383,4710.0,0.672,0.669,4.624
Kepler-228,6043.0,1.014,1.006,4.467
K2-32,5271.0,0.86,0.83,4.49
GJ 2030,5485.0,2.24104,0.96,3.71944
Kepler-1882,5691.0,1.458,1.068,4.139
Kepler-664,5754.0,1.02,1.01,4.43
K2-25,3207.0,0.2932,0.2634,4.944
Kepler-450,6197.21,1.64162,1.19,4.08307
Kepler-1054,6209.0,1.34,1.22,4.26
TOI-5386 A,6094.0,1.245,1.165,4.314
Kepler-387,5774.0,1.046,0.85,4.353
Kepler-157,5774.0,1.044,0.95,4.389
Kepler-680,5890.0,1.11,1.08,4.38
Kepler-697,5513.0,0.88,0.92,4.52
Kepler-616,5753.0,0.97,0.98,4.46
Kepler-202,4668.0,0.667,0.683,4.65
HD 141399,5600.0,1.387236,1.07,4.28
TOI-2449,6021.0,1.065,1.079,4.4
Kepler-338,5999.0,1.735,1.14,4.02
K2-229,5315.0,0.79,0.87,4.59
tau Cet,5310.0,0.83,0.783,4.52
Kepler-1749,3957.0,0.553,0.551,4.693
HIP 63242,4830.0,10.275655,1.54,2.53
Kepler-1793,5191.0,0.764,0.85,4.597
TOI-1203,5737.0,1.179,0.886,4.34
Kepler-1107,5268.0,0.82,0.86,4.55
HD 457,6114.04,1.28194,1.15,4.28303
Kepler-80,4540.0,0.678,0.83,4.639
HD 112640,4155.0,39.0,1.8,1.7
Kepler-166,5413.0,0.742,0.811,4.619
Kepler-1647,6210.0,1.7903,1.2207,4.018
HD 181234,5386.0,1.059423,0.94,4.374546
Kepler-349,5956.0,0.927,1.083,4.518
Kepler-1815,5516.0,0.967,0.856,4.399
TOI-907,6272.0,2.059789,1.069357,3.8399
Kepler-1417,5839.0,1.02,1.02,4.43
Kepler-56,4840.0,4.23,1.32,3.31
Kepler-1197,4708.0,0.72,0.78,4.62
Kepler-1921,6120.0,2.0,1.251,3.934
Kepler-1484,5730.0,0.92,0.94,4.49
HD 47366,4866.0,7.3,1.81,2.97
Kepler-1210,5568.0,0.92,0.94,4.49
K2-245,5793.0,1.25,0.83,4.16
Kepler-159,4625.0,0.663,0.628,4.653
Kepler-91,4550.0,6.3,1.31,2.953
Kepler-354,4648.0,0.674,0.652,4.627
K2-290,6302.0,1.511,1.194,4.23
Kepler-1766,5868.0,1.042,0.915,4.363
Kepler-774,6403.0,2.42,1.57,3.87
Kepler-859,5020.0,0.77,0.81,4.59
Kepler-1972,5818.0,1.384,1.12,4.2
HD 176986,4931.0,0.782,0.789,4.44
Kepler-1833,6164.0,1.446,1.286,4.227
Kepler-401,6184.0,1.29,1.17,4.28
TOI-4458,6151.0,1.96,1.47,3.96
Kepler-1621,6158.0,1.24,1.15,4.31
HD 206893,6500.0,1.31116,1.31,4.45
HD 238090,3933.0,0.57,0.578,4.7
Kepler-1840,4898.0,0.803,0.774,4.518
Kepler-1362,4857.0,0.74,0.8,4.6
KOI-984,5295.0,0.818,0.928,4.54
Kepler-37,5357.0,0.789,0.79,4.5667
Kepler-717,5485.0,0.85,0.88,4.53
K2-188,5977.0,1.19,1.06,4.31
K2-148,4079.0,0.632,0.65,4.653
TOI-4791,6058.0,1.409,1.242,4.234
Kepler-1566,5254.0,0.81,0.84,4.56
Kepler-1751,6052.0,0.967,0.974,4.456
WASP-132,4686.0,0.758,0.789,4.56
Kepler-704,5616.0,0.96,0.97,4.46
TIC 147027702,6410.0,2.136,1.406,3.926
K2-156,4460.0,0.62,0.66,4.7
HATS-56,6536.0,2.201,1.573,3.949
WASP-154,4774.0,0.823,0.8,4.47
Kepler-150,5528.0,0.905339,0.97,4.51122
Kepler-304,4731.0,0.687,0.737,4.635
HAT-P-43,5693.0,1.08,1.03,4.38
Kepler-279,6689.45,1.07,1.1,4.42
NGTS-38,6310.0,1.88,1.46,4.06
Kepler-49,4252.0,0.559,0.549,4.727
Kepler-1432,6031.0,1.13,1.09,4.37
HAT-P-42,5743.0,1.53,1.178,4.14
Kepler-355,6184.0,1.066,0.933,4.441
Kepler-326,5105.0,0.801,0.91,4.556
Kepler-1299,5609.0,0.91,0.94,4.5
TOI-172,5645.0,1.777,1.128,3.993
Kepler-741,6129.0,1.24,1.16,4.31
Kepler-1806,5311.0,0.788,0.884,4.588
Kepler-353,3903.0,0.504,0.553,4.751
HD 2952,4853.0,10.9,1.91,2.65
TOI-375,5259.9,2.9,1.441,3.672
Kepler-1226,5923.0,1.02,1.02,4.43
Kepler-560,3556.0,0.33,0.34,4.94
PZ Tel,5169.0,1.25646,1.36,4.18425
HD 164604,4663.0,0.78,0.77,4.49
Kepler-1048,4651.0,0.7,0.75,4.62
Kepler-1422,6194.0,1.23,1.15,4.32
Kepler-1094,6112.0,1.21,1.14,4.33
HD 69830,5385.0,0.886947,0.86,4.490299
HD 82943,5935.0,1.1826,1.08,4.32582
Kepler-954,4990.0,0.76,0.82,4.59
HATS-38,5732.0,1.105,0.89,4.301
K2-36,4916.0,0.718,0.79,4.621
Kepler-1388,4098.0,0.61,0.63,4.67
Kepler-416,5718.0,1.075,1.0,4.42
Kepler-1567,5655.0,0.93,0.95,4.49
HD 147873,5972.0,2.29,1.38,3.86
Kepler-290,5147.0,0.743,0.756,4.622
Kepler-1212,6051.0,1.15,1.1,4.36
Kepler-857,5773.0,0.99,0.99,4.45
Kepler-1626,6826.0,1.85,1.51,4.08
TOI-1836,6237.0,1.6454,1.2518,4.098
K2-64,5312.0,0.726,0.741,4.576
Kepler-1336,5512.0,1.3,0.94,4.18
Kepler-872,5902.0,1.08,1.05,4.4
Kepler-1656,5569.0,1.1,1.03,4.40025
POTS-1,4400.0,0.588,0.695,4.63
Kepler-68,5847.0,1.2564,1.057,4.281
Kepler-1406,5892.0,1.12,1.05,4.36
Kepler-758,6228.0,1.42,1.16,4.19
Kepler-675,4945.0,0.75,0.79,4.6
Kepler-77,5520.0,0.99,0.95,4.42
Kepler-679,5403.0,0.84,0.87,4.54
K2-265,5420.0,0.92,0.901,4.465
Kepler-1682,5619.12,0.842301,0.99,4.58277
Kepler-1907,5159.0,0.8,0.752,4.508
Kepler-996,6014.0,1.14,1.09,4.36
Kepler-174,4880.0,0.622,0.602,4.679
Kepler-282,5656.0,0.89,0.97,4.53
HD 219828,5891.0,1.56,1.04,4.17
Kepler-758,6228.0,1.42,1.16,4.19
K2-85,4232.0,0.71,0.7,4.44
K2-3,3844.0,0.546,0.549,4.704
Kepler-360,6053.0,1.058,0.994,4.423
TOI-3664,5593.0,1.11,0.98,4.37
Kepler-293,5804.0,0.957,0.934,4.504
HD 135625,6040.64,1.35743,1.28,4.22185
K2-419 A,3711.0,0.541,0.562,4.74
HD 126105,4875.0,4.21,1.2,3.18
TOI-756,3657.0,0.505,0.505,4.735
TOI-4794,6390.0,1.451,1.25,4.215
HD 52265,6136.0,1.32,1.204,4.36
Kepler-974,3687.0,0.5,0.52,4.76
Kepler-1008,5066.0,0.78,0.81,4.56
Kepler-1373,6299.0,1.33,1.22,4.27
Kepler-172,5526.0,1.085,1.081,4.375
TOI-2338,5581.0,1.05,0.99,4.4
Kepler-275,6165.0,1.383,1.189,4.229
Kepler-305,4974.0,0.827279,0.82,4.51658
TOI-2133,4250.0,0.62,0.644,4.6
K2-188,5977.0,1.19,1.06,4.31
Kepler-32,3900.0,0.53,0.58,4.64
Qatar-3,6007.0,1.272,1.145,4.286
Kepler-1787,6060.0,0.925,1.008,4.509
GJ 849,3467.0,0.45,0.45,4.8
Kepler-231,3767.0,0.49,0.58,4.779
HD 153557,4837.0,0.745171,0.79,4.59118
Kepler-1939,4353.0,0.603,0.648,4.681
Kepler-1170,5069.0,0.76,0.8,4.58
Kepler-245,5174.0,0.8,0.86,4.57
HD 128356,4875.0,0.85,0.65,4.52
HD 219134,4699.0,0.778,0.81,4.567
Kepler-487,5444.0,0.88,0.91,4.51
Kepler-157,5774.0,1.044,0.95,4.389
HD 20794,5401.0,0.93,0.813,4.39
Kepler-40,6510.0,2.13,1.48,3.94
Kepler-621,4521.0,0.68,0.72,4.63
Kepler-323,6004.0,1.12,1.015,4.38
TOI-6651,5940.0,1.721,1.323,4.087
TOI-908,5626.0,1.028,0.95,4.45
Kepler-1582,3208.0,0.3,0.28,4.93
HD 177565,5627.0,0.971489,1.0,4.39
WASP-90,6430.0,1.98,1.55,4.033
HD 211810,5652.0,1.13,1.03,4.26335
K2-133,3655.0,0.455,0.461,4.77
GJ 96,3785.0,0.580612,0.6,4.66767
Kepler-512,5997.0,1.3,1.17,4.28
K2-138,5356.3,0.863,0.935,4.54
HD 191939,5348.0,0.94,0.81,4.3
Kepler-298,4465.0,0.582,0.66,4.709
GJ 896 A,3345.0,0.394682,0.43599,4.83156
HD 72490,4934.0,4.96,1.21,3.21
K2-63,6771.0,1.63,1.4,4.15
GJ 433,3461.0,0.5,0.48,4.81
HD 12661,5748.0,1.11,1.02,4.316128
KOI-351,6031.13,1.185,1.242,4.27
Kepler-1931,6167.0,1.221,1.174,4.333
TOI-519,3322.0,0.35,0.335,4.87
Kepler-287,5806.0,1.032,0.963,4.402
TOI-2578,6333.0,1.64,1.27,4.473
Kepler-1067,5592.0,0.93,0.95,4.49
Kepler-1753,5180.0,0.769,0.86,4.597
Kepler-570,5496.0,0.9,0.93,4.5
Kepler-1049,3864.0,0.49,0.51,4.77
Kepler-663,5264.0,0.82,0.86,4.55
TOI-2498,5905.0,1.26,1.12,4.297
CoRoT-30,5650.0,0.91,0.98,4.4
WASP-98,5473.0,0.741,0.809,4.606
Kepler-10,5708.0,1.065,0.91,4.344
Kepler-337,5684.0,1.761,1.081,4.004
Kepler-108,5854.0,2.192,1.247,3.895
Kepler-707,5099.0,0.76,0.8,4.58
Kepler-284,5615.0,0.814,0.766,4.58
Kepler-135,6090.0,1.275,1.047,4.271
GJ 3634,3517.0,0.43,0.45,4.77636
Kepler-950,5857.0,1.02,1.02,4.44
HD 73526,5601.0,1.53,1.14,4.12
Kepler-102,4909.0,0.724,0.803,4.6
Kepler-959,7005.0,2.01,1.6,4.04
K2-243,6570.0,1.39,1.29,4.26
K2-133,3655.0,0.455,0.461,4.77
Kepler-1310,5549.0,0.88,0.91,4.51
HIP 74890,4850.0,5.77,1.74,3.1
GJ 15 A,3607.0,0.38,0.38,4.87
Kepler-1509,5780.0,0.99,1.0,4.45
Kepler-749,5009.0,0.75,0.79,4.59
HD 102329,4745.0,9.82,3.21,2.96
TOI-1194,5394.0,0.9608,0.9835,4.463
Barnard's star,3195.0,0.185,0.162,4.9
Kepler-1951,5468.0,1.306,0.923,4.171
GJ 180,3371.0,0.413049,0.43,4.81473
Kepler-389,5376.0,0.792,0.765,4.57
HD 20794,5368.0,0.93,0.79,4.39
TOI-837,5995.0,1.052,1.142,4.453
Kepler-1877,5615.0,0.936,1.022,4.505
Kepler-543,4671.0,0.67,0.7,4.63
HD 74698,5783.0,1.333,1.039,4.12
HD 160691,5773.0,1.33,1.13,4.2
Kepler-152,5088.0,0.724,0.779,4.605
Gliese 12,3328.0,0.265,0.255,5.25
Kepler-266,5885.0,1.028,0.947,4.453
TOI-6130,6110.0,1.51,1.31,4.19
rho CrB,5817.0,1.3617,1.0,4.121
Kepler-1531,6260.0,1.27,1.16,4.29
K2-12,5672.0,1.117,0.965,4.3
GJ 581,3500.0,0.302,0.295,4.97
Kepler-84,6039.0,1.43,1.0,4.13
TOI-5210,5723.0,1.209,1.105,4.319
NGTS-30,5455.0,0.913,0.94,4.3
K2-413,4116.0,0.7,0.808,4.656
CoRoT-16,5650.0,1.19,1.098,4.36
HD 94890,4867.0,10.71,1.74,2.6
TOI-1533,5146.0,0.849,0.88,4.5
HD 31253,6130.0,1.75,1.7,4.18
HD 208527,4035.0,51.1,1.6,1.4
Kepler-326,5105.0,0.801,0.91,4.556
HD 153557,4837.0,0.745171,0.79,4.59118
Kepler-1573,5808.0,1.0,1.01,4.44
HD 70642,5732.0,0.984,1.078,4.458
Kepler-175,6064.0,1.01,0.969,4.472
Kepler-375,5826.0,0.837,0.891,4.567
GJ 3998,3726.0,0.5,0.52,4.75
HD 39194,5205.0,0.783742,0.86,4.53
Kepler-1044,5985.0,1.11,1.08,4.38
K2-189,5442.0,0.879,0.85,4.51
HD 205158,6133.55,1.87741,1.16,3.95541
Kepler-1489,5565.53,0.957,0.977,4.51
Kepler-1714,6150.0,2.086,1.448,3.96
HD 219134,4913.0,0.77,0.794,4.51
TOI-470,5190.0,0.831,0.87,4.54
Kepler-1241,5261.0,0.8,0.84,4.56
Kepler-164,5888.0,1.148,1.036,4.331
WASP-116,6250.0,1.426,1.25,4.25
TOI-1898,6241.0,1.6131,1.2484,4.116
Kepler-1820,5841.0,0.931,1.047,4.52
HIP 8152,5618.0,0.9603,0.9373,4.443
Kepler-1722,5506.0,0.788,0.876,4.584
TOI-1937 A,5814.0,1.08,1.072,4.401
Kepler-1388,4098.0,0.61,0.63,4.67
Kepler-1130,5450.0,0.842,0.944,4.563
Kepler-114,4605.0,0.667,0.77,4.65
HD 20782,5782.13,1.12681,1.04,4.3514
Kepler-410 A,6273.0,1.352,1.214,4.261
Kepler-254,5957.0,0.91,0.849,4.524
Kepler-1113,5931.0,1.17,1.12,4.35
Kepler-841,5324.0,0.81,0.85,4.56
Kepler-331,4347.0,0.492,0.653,4.768
Kepler-25,6354.0,1.316,1.165,4.285
Kepler-1792,5229.0,1.005,0.878,4.378
HD 136418,4989.0,3.78,1.48,3.45
Kepler-1485,6087.0,1.12,1.11,4.39
HD 16417,5841.0,1.639984,1.2,4.16
Kepler-142,5790.0,1.269,0.978,4.262
K2-16,4761.0,0.544,0.67,4.629
TOI-1288,5388.0,0.9583,0.9552,4.453
Kepler-103,6047.0,1.492,1.212,4.17
Kepler-1415,5267.0,0.84,0.89,4.54
GJ 1002,3024.0,0.137,0.12,5.1
Kepler-662,4897.0,0.74,0.79,4.6
TOI-1235,3997.0,0.619,0.63,4.64
HD 68475,5022.0,0.79099,0.83,4.56
TOI-663,3681.0,0.512,0.514,4.7266
Kepler-754,5935.0,1.08,1.06,4.39
HD 207897,5106.0,0.7827,0.8208,4.562
Kepler-1667,5941.54,1.08751,1.09,4.40263
TOI-905,5570.0,0.918,0.968,4.498
Kepler-1468,5794.0,1.496,1.072,4.118
TOI-2267 A,3030.0,0.2075,0.171,4.99
TOI-2000,5611.0,1.134,1.082,4.363
TOI-1333,6274.0,1.925,1.464,4.034
HD 75898,6122.0,1.55,1.295,4.34
Kepler-275,6165.0,1.383,1.189,4.229
Kepler-1459,4828.0,0.74,0.78,4.61
BD-210397,4051.0,0.747,0.69,4.67
Kepler-671,5624.0,0.95,0.97,4.47
Kepler-519,5260.0,0.8,0.89,4.58
HD 1397,5521.0,2.336,1.324,3.823
Kepler-320,6435.0,1.108,1.072,4.419
Kepler-1769,6071.0,1.295,1.061,4.239
Kepler-1726,5316.0,0.804,0.876,4.57
HD 42618,5727.0,0.999,1.015,4.44
GJ 338 B,4014.0,0.58,0.64,4.68
K2-183,5482.0,0.87,0.942219,4.6
Kepler-1772,5541.0,0.934,0.942,4.472
Kepler-1396,6195.0,1.27,1.18,4.3
Kepler-1165,6249.0,1.076,1.13,4.428
NGTS-21,4660.0,0.86,0.72,4.63
Kepler-1519,5644.0,0.91,0.94,4.5
Kepler-338,5923.0,1.735,1.105,4.017
Kepler-121,5311.0,0.701,0.859,4.646
K2-154,4097.0,0.63,0.65,4.65
Kepler-262,5841.0,0.881,0.816,4.541
WASP-11,4800.0,0.89,1.42,4.45
TOI-2211,5253.0,0.834,0.9,4.54958
Kepler-1821,5475.0,0.884,0.946,4.521
Kepler-124,4984.0,0.636,0.706,4.669
Kepler-380,6045.0,1.224,0.99,4.293
Kepler-1259,5053.0,0.77,0.8,4.58
Kepler-156,5094.0,0.807,0.864,4.552
Kepler-406,5538.0,1.07,1.07,4.409
HD 18143,5078.0,0.87,0.85,4.51
Kepler-286,5580.0,0.863,0.83,4.495
HD 82886,4953.0,5.26,2.53,3.4
CoRoT-11,6440.0,1.37,1.27,4.22
HD 154857,5589.0,2.3,1.96,4.01
Kepler-624,6117.0,1.18,1.1,4.33
Kepler-1530,5477.0,0.88,0.92,4.52
TOI-5349,3751.0,0.58,0.61,4.72
HD 108202,4556.03,0.66355,0.74,4.65165
K2-321,3750.0,0.595,0.578,4.65
Kepler-14,6395.0,2.048,1.512,3.994
KOI-12,6635.0,1.4,1.5,4.308
Kepler-1047,5754.0,1.13,1.08,4.37
TOI-1294,5718.0,1.5566,1.1578,4.119
BD+49 828,4943.0,7.6,1.52,2.85
TOI-1117,5635.0,1.05,0.97,4.41
Kepler-106,5858.0,1.04,1.0,4.407
TOI-4406,6219.0,1.29,1.19,4.29
HD 108147,6255.73,1.20664,1.22,4.36127
Kepler-1430,4796.0,0.72,0.77,4.62
Kepler-1388,4098.0,0.61,0.63,4.67
TOI-2322,4664.0,0.662,0.703,4.57
Kepler-1311,5748.0,1.4,1.05,4.16
CoRoT-6,6090.0,1.025,1.05,4.43
K2-58,5413.0,0.86,0.89,4.522
K2-182,5128.0,0.789,0.823,4.56
Kepler-1991,5478.0,1.053,0.914,4.354
TOI-2345,4687.0,0.729,0.727,4.57
Kepler-126,6239.0,1.358,1.108,4.247
HD 145377,6014.0,1.05,1.2,4.47
HD 40307,4956.0,0.716684,0.77,4.47
Kepler-445,3157.0,0.21,0.18,4.92504
HD 25912,5920.58,0.995896,1.08,4.47506
Kepler-1635,5347.0,0.85,0.89,4.53
Kepler-1709,5918.0,1.043,1.003,4.403
Kepler-611,5761.0,1.01,1.01,4.43
Kepler-1904,3805.0,0.497,0.526,4.767
Kepler-473,5816.0,1.34,1.06,4.21
Kepler-1061,6067.0,1.07,1.09,4.42
Kepler-9,5777.0,1.02,1.07,4.49
DMPP-6,6182.09,1.27,1.079,4.31374
TOI-7510,5720.0,1.035,1.063,4.439
HD 83443,5442.0,0.94,1.0,4.39
Kepler-802,5507.0,0.9,0.93,4.5
Kepler-865,5440.0,0.885,0.782,4.438
Kepler-316,4204.0,0.52,0.587,4.743
Kepler-329,4257.0,0.523,0.602,4.74
Kepler-1085,5816.0,1.0783,1.05,4.39378
Pr0211,5300.0,0.827,0.935,4.51
Kepler-1068,5806.0,1.01,1.01,4.43
Kepler-1856,4948.0,0.816,0.782,4.508
Kepler-7,5933.0,1.966,1.359,3.98
Kepler-1799,5831.0,0.921,1.016,4.517
K2-146,3385.0,0.33,0.331,4.8983
HIP 114933,4823.0,5.27,1.39,2.99
Kepler-1305,5701.0,0.96,0.97,4.47
11 Com,4874.0,13.76,2.09,2.45
Kepler-1144,5753.0,0.96,0.98,4.47
Kepler-1162,5225.0,0.859,0.861,4.505
HD 224693,5894.0,1.93,1.31,4.38
Kepler-1088,5975.0,1.08,1.08,4.4
Kepler-393,6189.0,1.382,1.256,4.233
HD 202772 A,6442.0,2.554,1.721,3.93
Kepler-1597,6377.0,1.39,1.25,4.24
TOI-480,6174.0,1.4877,1.2793,4.194
Kepler-1560,5815.0,1.02,1.02,4.43
Kepler-1440,5698.0,0.96,0.98,4.46
WASP-130,5625.0,0.96,1.04,4.49
HD 162020,4723.0,0.75,0.42,4.31
WASP-157,5772.0,1.1,1.06,4.38
Kepler-188,6021.0,1.141,1.021,4.346
HD 136352,5664.0,1.058,0.87,4.39
Kepler-588,5835.0,1.0,1.01,4.44
HD 156279,5453.0,0.95,0.94,4.46
Kepler-693,4881.0,0.72,0.76,4.61
Kepler-1380,5570.0,0.94,0.96,4.48
Kepler-387,5774.0,1.046,0.85,4.353
K2-54,3990.0,0.643,0.615,4.61
Kepler-1126,5678.0,0.921,0.794,4.409
K2-263,5368.0,0.85,0.88,4.51
Kepler-1469,5507.0,0.89,0.92,4.51
Kepler-462,7500.0,1.57,1.59,4.22
Kepler-1183,5765.0,0.99,1.0,4.45
TOI-1443,5224.0,0.7511,0.7663,4.564
Kepler-1900,6173.0,1.041,1.104,4.447
47 UMa,5872.0,1.21334,1.06,4.29541
TOI-5624,5327.0,0.82,0.858,4.49
Kepler-739,5601.0,0.9,0.93,4.51
GJ 9066,3154.0,0.164,0.15,5.01
gam Lib,4879.0,12.38,1.78,2.5
Kepler-261,5098.0,0.794,0.834,4.561
TrES-5,5171.0,0.868,0.901,4.517
HD 204313,5767.0,1.1,1.03,4.37
Kepler-18,5345.0,1.108,0.972,4.31
Kepler-1400,5044.0,0.78,0.83,4.58
Kepler-84,6031.0,1.169,1.06,4.323
K2-258,6351.0,1.31,1.21,4.29
Kepler-1855,3460.0,0.356,0.385,4.92
Kepler-1987,4769.0,0.714,0.799,4.622
K2-276,5139.0,0.85,0.82,4.49
Kepler-415,4362.0,0.643,0.67,4.62
K2-127,4575.0,0.66,0.72,4.65
WASP-119,5650.0,1.2,1.02,4.26
TOI-1782,4336.0,0.669,0.68,4.62012
WTS-1,6250.0,1.15,1.2,4.4
Kepler-893,5820.0,0.99,1.0,4.45
HD 103949,4792.0,0.753113,0.77,4.59071
Kepler-1487,5745.0,3.955,1.801,3.499
K2-155,4258.0,0.58,0.65,4.6
Kepler-1579,4584.0,0.7,0.75,4.63
K2-264,3660.0,0.473,0.496,4.783
Kepler-1351,4439.0,0.67,0.7,4.64
Kepler-8,6213.0,1.486,1.213,4.174
Kepler-1363,4839.0,0.72,0.76,4.61
HD 221420,5847.0,1.947,1.351,4.03
HD 117207,5732.0,1.074,1.053,4.371
HIP 71135,4146.0,0.681296,0.66,4.54201
HATS-51,5758.0,1.44,1.187,4.198
Kepler-168,6282.0,1.107,1.113,4.422
